City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Guerrero Negro,27.9769,-114.0611,69.17,35,0,20.13,MX,2022-01-21 01:27:02
Kapaa,22.0752,-159.319,80.47,75,0,11.5,US,2022-01-21 01:24:42
Saint-Philippe,-21.3585,55.7679,78.35,81,51,8.97,RE,2022-01-21 01:27:03
Bilibino,68.0546,166.4372,-28.17,82,4,3.38,RU,2022-01-21 01:27:03
Tasiilaq,65.6145,-37.6368,37.56,93,100,16.15,GL,2022-01-21 01:27:03
Chicama,-7.8447,-79.1469,66.74,74,63,8.46,PE,2022-01-21 01:27:04
Castro,-24.7911,-50.0119,66.58,90,93,3.62,BR,2022-01-21 01:27:04
Hilo,19.7297,-155.09,78.8,83,100,10.36,US,2022-01-21 01:25:23
Chokurdakh,70.6333,147.9167,-36.63,97,94,5.99,RU,2022-01-21 01:27:04
Ipixuna,-1.7625,-48.8043,80.55,95,11,3.06,BR,2022-01-21 01:27:05
Leningradskiy,69.3833,178.4167,-32.73,92,6,3.87,RU,2022-01-21 01:27:05
Hermanus,-34.4187,19.2345,59.9,85,0,9.51,ZA,2022-01-21 01:27:05
Areia Branca,-4.9561,-37.1369,81.68,69,100,15.9,BR,2022-01-21 01:27:06
Skelleftea,64.7507,20.9528,28.76,52,6,3.0,SE,2022-01-21 01:27:06
Port Elizabeth,-33.918,25.5701,72.1,83,100,17.27,ZA,2022-01-21 01:27:06
Hithadhoo,-0.6,73.0833,81.82,74,100,7.56,MV,2022-01-21 01:27:07
Nouadhibou,20.931,-17.0347,66.18,88,100,6.91,MR,2022-01-21 01:27:07
Torbay,47.6666,-52.7314,44.58,94,100,18.41,CA,2022-01-21 01:26:46
Rikitea,-23.1203,-134.9692,78.71,75,100,6.85,PF,2022-01-21 01:24:49
Narsaq,60.9167,-46.05,25.02,87,100,18.72,GL,2022-01-21 01:24:43
Lavrentiya,65.5833,-171.0,-17.25,93,5,11.1,RU,2022-01-21 01:27:08
Port Alfred,-33.5906,26.891,71.83,86,97,17.45,ZA,2022-01-21 01:27:08
Alofi,-19.0595,-169.9187,85.89,66,75,17.27,NU,2022-01-21 01:27:08
Juneau,58.3019,-134.4197,38.84,97,100,8.05,US,2022-01-21 01:27:09
Saint-Augustin,51.226,-58.6502,3.47,87,100,8.68,CA,2022-01-21 01:27:09
Pontes E Lacerda,-15.2261,-59.3353,75.56,80,22,1.57,BR,2022-01-21 01:27:09
San Quintin,30.4833,-115.95,63.64,58,0,5.5,MX,2022-01-21 01:27:10
Gejiu,23.306,103.1635,41.41,95,76,5.35,CN,2022-01-21 01:27:10
Ushuaia,-54.8,-68.3,58.66,51,0,9.22,AR,2022-01-21 01:24:06
Roseto Degli Abruzzi,42.6664,14.0227,45.19,91,9,4.59,IT,2022-01-21 01:27:10
Lata,40.1629,-8.3327,50.05,82,0,4.27,PT,2022-01-21 01:27:11
Cidreira,-30.1811,-50.2056,77.04,91,3,14.38,BR,2022-01-21 01:27:11
Wanning,18.8003,110.3967,70.09,80,88,6.29,CN,2022-01-21 01:27:11
Victoria,22.2855,114.1577,66.38,80,100,1.99,HK,2022-01-21 01:27:12
Bluff,-46.6,168.3333,58.8,76,100,17.67,NZ,2022-01-21 01:27:12
Tindivanam,12.25,79.65,68.27,84,100,2.33,IN,2022-01-21 01:27:12
Mimoso Do Sul,-21.0642,-41.3664,72.41,99,39,2.17,BR,2022-01-21 01:27:13
Pochutla,15.7432,-96.4661,78.62,80,2,3.58,MX,2022-01-21 01:27:13
Dingle,10.9995,122.6711,79.88,80,92,10.56,PH,2022-01-21 01:27:13
Nome,64.5011,-165.4064,5.07,72,100,16.11,US,2022-01-21 01:27:14
Baft,29.234,56.6057,31.44,60,0,1.88,IR,2022-01-21 01:27:14
Wiang Sa,8.6359,99.3666,82.02,85,25,1.88,TH,2022-01-21 01:27:14
Escanaba,45.7453,-87.0646,7.05,77,0,0.0,US,2022-01-21 01:27:15
Hobart,-42.8794,147.3294,81.27,40,20,1.01,AU,2022-01-21 01:26:14
Yellowknife,62.456,-114.3525,-10.68,77,100,23.02,CA,2022-01-21 01:24:34
Punta Arenas,-53.15,-70.9167,57.31,62,0,9.22,CL,2022-01-21 01:24:47
Atuona,-9.8,-139.0333,78.93,77,47,24.05,PF,2022-01-21 01:28:00
Zabid,14.1951,43.3152,75.27,77,93,11.45,YE,2022-01-21 01:28:15
Asau,46.4333,26.4,31.12,77,73,7.83,RO,2022-01-21 01:28:16
North Bend,43.4065,-124.2243,52.25,99,100,11.5,US,2022-01-21 01:28:16
Jiangyou,31.7667,104.7167,46.24,87,100,3.0,CN,2022-01-21 01:28:16
Merano,46.6682,11.1595,39.52,69,1,9.28,IT,2022-01-21 01:28:17
Saskylakh,71.9167,114.0833,-21.3,93,60,7.07,RU,2022-01-21 01:28:02
Dikson,73.5069,80.5464,4.68,94,100,13.47,RU,2022-01-21 01:28:17
Vaini,-21.2,-175.2,81.77,78,94,16.73,TO,2022-01-21 01:28:18
Constitucion,-35.3333,-72.4167,54.57,78,0,10.33,CL,2022-01-21 01:28:18
Albany,42.6001,-73.9662,15.28,63,27,13.0,US,2022-01-21 01:24:48
