City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
0,Lebu,CL,62.33,scattered clouds,-37.6167,-73.65,Hostal Las Lilas
1,Caravelas,BR,82.76,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
2,Ancud,CL,62.13,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
4,Puerto Ayora,EC,80.56,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
8,Hilo,US,74.62,clear sky,19.7297,-155.09,Hilo Hawaiian Hotel
9,Biak,ID,75.27,broken clouds,-0.9131,122.8766,Penginapan Kim
11,Dicabisagan,PH,74.93,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
13,Pisco,PE,77.05,clear sky,-13.7,-76.2167,Hotel San Isidro Oficial
14,Rikitea,PF,78.28,overcast clouds,-23.1203,-134.9692,People ThankYou
15,Caconde,BR,69.66,clear sky,-21.5294,-46.6439,HOTEL - HOSPEDAGEM EM CACONDE
17,San Felipe,VE,82.58,broken clouds,10.3399,-68.7425,Posada Llovizna Rodríguez
20,Busselton,AU,73.09,clear sky,-33.65,115.3333,Observatory Guest House
21,East London,ZA,74.34,few clouds,-33.0153,27.9116,Tu Casa
22,Howard Springs,AU,82.81,overcast clouds,-12.497,131.047,buffalo beach hostel
23,Port Alfred,ZA,74.32,clear sky,-33.5906,26.891,The Halyards Hotel
26,Hithadhoo,MV,82.8,few clouds,-0.6,73.0833,Scoop Guest House
28,Nova Vicosa,BR,82.22,few clouds,-17.8919,-39.3719,Pousada Porto do Sol
33,Bredasdorp,ZA,82.27,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
42,Namatanai,PG,78.82,scattered clouds,-3.6667,152.4333,Seagulls Inn Namatani
44,Lianzhou,CN,61.97,overcast clouds,24.7811,112.3825,Qingcheng Tourism Industry
45,Georgetown,MY,81.9,few clouds,5.4112,100.3354,Cititel Penang
46,Mecca,SA,71.15,scattered clouds,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
47,Boyolangu,ID,75.04,overcast clouds,-8.1181,111.8935,Yos ega cv
48,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
49,Butaritari,KI,81.54,light rain,3.0707,172.7902,Isles Sunset Lodge
54,Kisangani,CD,75.07,broken clouds,0.5167,25.2,Grand Ramela Hotel
58,Poum,NC,79.86,broken clouds,-20.2333,164.0167,Gîte kajeon
