City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Bluff,NZ,2022-01-18 00:47:30,-46.6,168.3333,65.23,68,100,5.3
1,Ushuaia,AR,2022-01-18 00:47:30,-54.8,-68.3,47.82,84,82,4.47
2,Amga,RU,2022-01-18 00:47:30,60.8953,131.9608,-29.27,96,100,1.41
3,Vaini,TO,2022-01-18 00:47:31,-21.2,-175.2,81.79,85,97,16.37
4,Bom Jesus,BR,2022-01-18 00:47:31,-9.0744,-44.3586,72.1,90,2,1.99
5,Dikson,RU,2022-01-18 00:47:31,73.5069,80.5464,4.57,87,100,9.08
6,Rehoboth,NA,2022-01-18 00:47:32,-23.3167,17.0833,69.37,74,100,5.44
7,Puerto Ayora,EC,2022-01-18 00:47:32,-0.7393,-90.3518,73.13,85,100,5.55
8,Cherskiy,RU,2022-01-18 00:47:32,68.75,161.3,-46.44,100,64,2.93
9,Torres,BR,2022-01-18 00:47:33,-29.3353,-49.7269,77.83,92,100,5.06
10,Busselton,AU,2022-01-18 00:47:33,-33.65,115.3333,78.04,49,0,11.45
11,Rikitea,PF,2022-01-18 00:47:34,-23.1203,-134.9692,77.79,72,69,8.79
12,Conde,BR,2022-01-18 00:47:34,-7.2597,-34.9075,76.46,88,20,5.75
13,Kovylkino,RU,2022-01-18 00:47:34,54.0388,43.9139,29.37,94,100,14.14
14,Hilo,US,2022-01-18 00:47:35,19.7297,-155.09,82.13,71,0,11.5
15,San Cristobal,VE,2022-01-18 00:47:35,7.7669,-72.225,71.78,89,22,1.21
16,Severo-Kurilsk,RU,2022-01-18 00:47:36,50.6789,156.125,28.26,71,100,10.96
17,Laguna,US,2022-01-18 00:47:36,38.421,-121.4238,61.09,68,0,0.0
18,Upernavik,GL,2022-01-18 00:47:36,72.7868,-56.1549,-1.52,89,100,8.34
19,Galesong,ID,2022-01-18 00:47:37,-5.3166,119.3661,78.82,75,99,8.14
20,Cidreira,BR,2022-01-18 00:47:37,-30.1811,-50.2056,75.96,86,47,10.29
21,Viedma,AR,2022-01-18 00:47:38,-40.8135,-62.9967,57.74,61,100,7.14
22,Vanimo,PG,2022-01-18 00:47:38,-2.6741,141.3028,77.29,94,100,10.16
23,Victoria,HK,2022-01-18 00:45:19,22.2855,114.1577,63.18,86,100,1.01
24,Saint-Philippe,RE,2022-01-18 00:47:39,-21.3585,55.7679,78.39,85,98,3.6
25,Sarkand,KZ,2022-01-18 00:47:39,45.41,79.9186,32.0,92,100,1.97
26,Atasu,KZ,2022-01-18 00:47:39,48.6814,71.6433,15.91,91,100,2.66
27,Kruisfontein,ZA,2022-01-18 00:47:40,-34.0033,24.7314,66.88,91,7,5.28
28,Kupino,RU,2022-01-18 00:47:40,54.3663,77.2981,6.17,96,28,10.25
29,The Valley,AI,2022-01-18 00:47:41,18.217,-63.0578,78.66,76,44,13.65
30,Castro,BR,2022-01-18 00:47:41,-24.7911,-50.0119,64.18,93,100,2.37
31,Tuktoyaktuk,CA,2022-01-18 00:47:41,69.4541,-133.0374,-27.4,68,20,12.66
32,Mataura,NZ,2022-01-18 00:47:42,-46.1927,168.8643,82.81,37,100,3.15
33,Torbay,CA,2022-01-18 00:47:42,47.6666,-52.7314,27.27,84,20,5.75
34,Butaritari,KI,2022-01-18 00:47:43,3.0707,172.7902,82.49,77,3,18.63
35,Nelson Bay,AU,2022-01-18 00:47:43,-32.7167,152.15,79.29,89,100,1.99
36,Sillanwali,PK,2022-01-18 00:47:43,31.8261,72.5398,50.31,71,6,4.47
37,Tuatapere,NZ,2022-01-18 00:47:44,-46.1333,167.6833,74.48,56,100,4.9
38,East London,ZA,2022-01-18 00:47:44,-33.0153,27.9116,71.53,89,7,13.31
39,Chudovo,RU,2022-01-18 00:47:44,59.1167,31.6833,20.23,85,98,13.04
40,Solnechnyy,RU,2022-01-18 00:47:45,50.7214,136.6319,4.86,85,98,9.71
41,Ozinki,RU,2022-01-18 00:47:45,51.1786,49.6769,22.26,94,100,19.57
42,Fortuna,US,2022-01-18 00:47:46,40.5982,-124.1573,52.41,89,100,1.01
43,Beyneu,KZ,2022-01-18 00:47:46,45.3167,55.2,24.28,84,23,7.67
44,Atuona,PF,2022-01-18 00:47:46,-9.8,-139.0333,78.75,70,21,20.47
45,Esperance,AU,2022-01-18 00:48:47,-33.8667,121.9,69.64,52,78,14.2
46,Sao Filipe,CV,2022-01-18 00:48:47,14.8961,-24.4956,72.45,75,16,6.33
47,Albany,US,2022-01-18 00:44:52,42.6001,-73.9662,31.55,72,100,20.0
48,Kahului,US,2022-01-18 00:48:47,20.8947,-156.47,82.42,72,40,9.22
49,Aginskoye,RU,2022-01-18 00:48:48,51.1,114.53,-16.31,99,56,3.09
50,Kapaa,US,2022-01-18 00:48:48,22.0752,-159.319,79.12,73,20,10.36
51,Bowmore,US,2022-01-18 00:48:48,34.9421,-79.3031,39.88,67,0,10.36
52,Rundu,NA,2022-01-18 00:48:49,-17.9333,19.7667,68.59,83,94,5.26
53,Isangel,VU,2022-01-18 00:48:49,-19.55,169.2667,86.11,58,75,5.75
54,Iqaluit,CA,2022-01-18 00:48:49,63.7506,-68.5145,2.93,85,100,11.5
55,Guerrero Negro,MX,2022-01-18 00:48:50,27.9769,-114.0611,65.59,73,21,11.43
56,Punta Arenas,CL,2022-01-18 00:48:50,-53.15,-70.9167,51.91,62,0,20.71
57,Bredasdorp,ZA,2022-01-18 00:48:51,-34.5322,20.0403,65.52,88,67,1.14
58,Provideniya,RU,2022-01-18 00:48:51,64.3833,-173.3,-3.89,71,0,8.95
59,Bandiagara,ML,2022-01-18 00:48:51,14.3501,-3.6104,68.43,17,0,11.61
60,North Bend,US,2022-01-18 00:48:52,43.4065,-124.2243,49.95,94,40,3.44
61,Puerto Madero,MX,2022-01-18 00:48:52,14.7208,-92.4215,80.8,74,0,3.44
62,Khakhea,BW,2022-01-18 00:48:52,-24.6895,23.494,74.16,61,0,6.78
63,Kodiak,US,2022-01-18 00:48:53,57.79,-152.4072,29.71,69,100,0.0
